2026-03-19 18:03:08,036 | modules.data_loader  | INFO  |   BTC/USDT 5m — 400000 bougies téléchargées (→ 2024-10-20)
2026-03-19 18:03:08,298 | modules.data_loader  | INFO  |   BTC/USDT 5m — 401000 bougies téléchargées (→ 2024-10-24)
2026-03-19 18:03:10,673 | modules.data_loader  | INFO  |   BTC/USDT 5m — 410000 bougies téléchargées (→ 2024-11-24)
2026-03-19 18:03:10,934 | modules.data_loader  | INFO  |   BTC/USDT 5m — 411000 bougies téléchargées (→ 2024-11-28)
2026-03-19 18:03:13,291 | modules.data_loader  | INFO  |   BTC/USDT 5m — 420000 bougies téléchargées (→ 2024-12-29)
2026-03-19 18:03:13,559 | modules.data_loader  | INFO  |   BTC/USDT 5m — 421000 bougies téléchargées (→ 2025-01-01)
2026-03-19 18:03:14,496 | modules.data_loader  | INFO  | Sauvegardé: BTC_USDT_5m_ohlcv.parquet — 420769 bougies
2026-03-19 18:06:12,532 | main                 | INFO  | ======================================================================
2026-03-19 18:06:12,532 | main                 | INFO  |   CRYPTO STRATEGY RESEARCH — START
2026-03-19 18:06:12,532 | main                 | INFO  | ======================================================================
2026-03-19 18:06:12,532 | main                 | INFO  | 
[1/7] DataLoader — Téléchargement & cache
2026-03-19 18:06:13,109 | modules.data_loader  | INFO  | Binance Futures connecté — 693 marchés chargés
2026-03-19 18:06:13,109 | modules.data_loader  | INFO  | DataLoader initialisé — 4 assets, base_tf=5m
2026-03-19 18:06:13,109 | modules.data_loader  | INFO  | ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
2026-03-19 18:06:13,109 | modules.data_loader  | INFO  | Chargement BTC/USDT
2026-03-19 18:06:13,109 | modules.data_loader  | INFO  | ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
2026-03-19 18:06:13,109 | modules.data_loader  | INFO  | Cache hit: BTC_USDT_5m_ohlcv.parquet
2026-03-19 18:06:14,510 | modules.data_loader  | INFO  |   Après nettoyage: 420769 bougies
2026-03-19 18:06:14,534 | modules.data_loader  | INFO  |   Resample 5m → 1h
2026-03-19 18:06:14,554 | modules.data_loader  | INFO  |   BTC/USDT 1h: 35065 bougies
2026-03-19 18:06:14,554 | modules.data_loader  | INFO  |   Resample 5m → 4h
2026-03-19 18:06:14,565 | modules.data_loader  | INFO  |   BTC/USDT 4h: 8767 bougies
2026-03-19 18:06:14,565 | modules.data_loader  | INFO  |   BTC/USDT complet — 5m:420769 | 1h:35065 | 4h:8767
2026-03-19 18:06:14,565 | modules.data_loader  | INFO  | ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
2026-03-19 18:06:14,565 | modules.data_loader  | INFO  | Chargement ETH/USDT
2026-03-19 18:06:14,565 | modules.data_loader  | INFO  | ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
2026-03-19 18:06:14,565 | modules.data_loader  | INFO  | Téléchargement ETH/USDT 5m [2021-01-01 → 2025-01-01]
2026-03-19 18:06:14,906 | modules.data_loader  | INFO  |   ETH/USDT 5m — 1000 bougies téléchargées (→ 2021-01-04)
